"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)","Latest: Kinetic Energy (J)","Latest: Potential Energy (J)","Latest: Total Energy (J)"
4.52,-0.0485846978496,0.112618333333,1.14452430556,0.000760973340167,0.00369886097966,0.00445983431983
4.56,-0.0430966978496,0.156636666667,1.01470833333,0.00147210272067,0.0029104288478,0.00438253156846
4.6,-0.0359622978496,0.194366666667,0.844399305556,0.00226670406667,0.00202658051999,0.00429328458666
4.64,-0.0274558978496,0.224665,0.641934027778,0.0030284617335,0.00118124585398,0.00420970758748
4.68,-0.0178518978496,0.245816666667,0.427559027778,0.00362555001667,0.000499387632454,0.00412493764912
4.72,-0.00769909784956,0.258965,0.201274305556,0.0040237722735,9.28856607614E-005,0.00411665793426
4.76,0.00300250215044,0.262395,-0.0571666666667,0.0041310681615,1.4126535029E-005,0.00414519469653
4.8,0.0134297021504,0.254963333333,-0.352527777778,0.00390037808067,0.000282619262064,0.00418299734273
4.84,0.0235825021504,0.234383333333,-0.649079861111,0.00329613281667,0.000871462616828,0.00416759543349
4.88,0.0323633021504,0.201798333333,-0.856706018518,0.00244335404017,0.00164124967197,0.00408460371214
4.92,0.0397721021504,0.163496666667,-0.892435185185,0.00160386960067,0.00247871211153,0.0040825817122
4.96,0.0455345021504,0.127291111111,-0.766986111111,0.000972181618074,0.0032490035185,0.00422118513657
5,0.0493761021504,0.104043333333,-0.635185185185,0.000649500912667,0.00382034515942,0.00446984607208
