Latest: Time (s),Latest: Position (m),Latest: Velocity (m/s),Latest: Acceleration (m/s²),Latest: Kinetic Energy (J),Latest: Potential Energy (J),Latest: Total Energy (J)
3.68,-0.0599218433107,-0.193223333333,1.77335763889,0.00186676282722,0.00562651298811,0.00749327581534
3.72,-0.0662330433107,-0.116048333333,1.97463194444,0.000673360783472,0.00687414071305,0.00754750149652
3.76,-0.0692514433107,-0.0337283333333,2.06871875,5.68800234722E-05,0.00751495968176,0.00757183970524
3.8,-0.0689770433107,0.0508783333333,2.04966319444,0.000129430240139,0.00745552353359,0.00758495377373
3.84,-0.0651354433107,0.132055,1.91031944444,0.00087192615125,0.00664819490327,0.00752012105452
3.88,-0.0582754433107,0.204656666667,1.68760763889,0.00209421756056,0.00532157476822,0.00741579232878
3.92,-0.0486714433107,0.268111666667,1.38986458333,0.00359419329014,0.00371208102031,0.00730627431045
3.96,-0.0365978433107,0.316703333333,1.03852777778,0.00501505006722,0.00209884314554,0.00711389321276
4,-0.0231522433107,0.351003333333,0.683618055556,0.00616016700056,0.000839953322288,0.00700012032284
4.04,-0.0083346433107,0.371583333333,0.303697916667,0.00690370868056,0.000108853659376,0.00701256233993
4.08,0.0067573566893,0.376728333333,-0.159590277778,0.00709621185681,7.15521493912E-05,0.0071677640062
4.12,0.0221237566893,0.359578333333,-0.650270833333,0.00646482889014,0.000766984775944,0.00723181366608
4.16,0.0358437566893,0.32242,-1.03495486111,0.00519773282,0.00201324225827,0.00721097507827
4.2,0.0479173566893,0.276686666667,-1.38748263889,0.00382777557556,0.00359794650396,0.00742572207952
4.24,0.0583445566893,0.211516666667,-1.71023611111,0.00223696501389,0.00533420479169,0.00757116980558
4.28,0.0649301566893,0.1372,-1.89840972222,0.000941192,0.00660635486314,0.00754754686314
4.32,0.0693205566893,0.0594533333333,-2.03060763889,0.000176734942222,0.00752996712141,0.00770670206363
4.36,0.0698693566893,-0.0262966666667,-2.07824652778,3.45757338889E-05,0.00764966621554,0.00768424194943
4.4,0.0671253566893,-0.109188333333,-1.97344097222,0.000596104606806,0.00706060977121,0.00765671437802
4.44,0.0610885566893,-0.185791666667,-1.75549305556,0.00172592717014,0.00584774902538,0.00757367619552
4.48,0.0520333566893,-0.249818333333,-1.50181597222,0.00312045998347,0.00424260581649,0.00736306579997
4.52,0.0410573566893,-0.306413333333,-1.18620833333,0.00469445654222,0.00264150214554,0.00733595868776
4.56,0.0273373566893,-0.347573333333,-0.738402777778,0.00604036110222,0.00117106778788,0.0072114288901
4.6,0.0127941566893,-0.364151666667,-0.331090277778,0.00663032181681,0.000256502927927,0.00688682474473
4.64,-0.0017490433107,-0.373298333333,0.0524027777778,0.00696758228347,4.79369197174E-06,0.00697237597544
4.68,-0.0173898433107,-0.362436666667,0.526409722222,0.00656801686722,0.000473871221131,0.00704188808835
4.72,-0.0311098433107,-0.32928,0.926576388889,0.00542126592,0.00151657762373,0.00693784354373
4.76,-0.0437322433107,-0.287548333333,1.27076736111,0.00413420220014,0.00299690176751,0.00713110396765
4.8,-0.0544338433107,-0.228095,1.60423958333,0.00260136645125,0.0046430888473,0.00724445529855
4.84,-0.0621170433107,-0.157208333333,1.83409722222,0.00123572300347,0.00604631191816,0.00728203492164
4.88,-0.0670562433107,-0.080605,1.95835532407,0.00032485830125,0.0070460778148,0.00737093611605
4.92,-0.0687026433107,0.00285833333333,1.82734837963,4.08503472222E-07,0.00739632336107,0.00739673186455
4.96,-0.0667818433107,0.0716488888889,1.43234259259,0.000256678163951,0.00698852947189,0.00724520763584
5,-0.0618426433107,0.110903333333,1.10442824074,0.000614977467222,0.0059930111371,0.00660798860433
